id,hotel,book_number,rooms,amount,prepay,price_per_night,pmnt_type,date_book,date_cancel,date_in,nights,date_out,channel,status_book,object,guests,room_type_agg,target
1,1,20200108-6634-58579847,1,11590,11590,5795,Банк. карта: Банк Россия (банк. карта),2019-12-31,,2020-01-08,2,2020-01-10,Сайт,Активный,Игора,2,Стандарт,1
4,1,20200120-6634-58550080,1,26980,26980,5396,Банк. карта: Банк Россия (банк. карта),2019-12-31,,2020-01-20,5,2020-01-25,Сайт,Активный,Игора,1,Стандарт,1
5,1,20200108-6634-58532701,1,31400,0,15700,Гарантия банковской картой,2019-12-30,2020-01-07,2020-01-08,2,2020-01-10,OTA,Отмена,Игора,1,Апартаменты,0
6,1,20200110-6634-58530349,1,19400,0,19400,Гарантия банковской картой,2019-12-30,,2020-01-10,1,2020-01-11,OTA,Активный,Игора,1,Апартаменты,1
7,1,20200108-6634-58528509,1,5800,0,5800,Гарантия банковской картой,2019-12-30,,2020-01-08,1,2020-01-09,OTA,Активный,Игора,1,Стандарт,1
8,1,20200108-6634-58528203,1,12200,0,6100,Гарантия банковской картой,2019-12-30,2020-01-07,2020-01-08,2,2020-01-10,OTA,Отмена,Игора,1,Стандарт,0
9,1,20200108-6634-58524873,1,11590,11590,5795,Банк. карта: Банк Россия (банк. карта),2019-12-30,,2020-01-08,2,2020-01-10,Сайт,Активный,Игора,2,Стандарт,1
10,1,20200127-6634-58516811,1,12150,12150,12150,Банк. карта: Банк Россия (банк. карта),2019-12-30,,2020-01-27,1,2020-01-28,Сайт,Активный,Игора,4,Апартаменты,1
11,1,20200123-6634-58506236,1,65800,0,16450,Гарантия банковской картой,2019-12-30,2020-01-18,2020-01-23,4,2020-01-27,OTA,Отмена,Игора,1,Апартаменты,0
12,1,20200123-6634-58505637,1,65800,0,16450,Гарантия банковской картой,2019-12-30,2019-12-30,2020-01-23,4,2020-01-27,OTA,Отмена,Игора,1,Апартаменты,0
15,1,20200111-6634-58465606,1,11100,0,11100,Гарантия банковской картой,2019-12-29,2019-12-30,2020-01-11,1,2020-01-12,OTA,Отмена,Игора,1,Стандарт,0
16,1,20200109-6634-58458032,2,12800,0,6400,Гарантия банковской картой,2019-12-29,2020-01-07,2020-01-09,1,2020-01-10,OTA,Отмена,Игора,2,Стандарт,0
17,1,20191229-6634-58455713,1,23350,0,23350,Внешняя система оплаты (С предоплатой),2019-12-29,,2019-12-29,1,2019-12-30,OTA,Активный,Игора,1,Коттедж,1
18,1,20200106-6634-58438162,1,110030,110030,22006,Банк. карта: Банк Россия (банк. карта),2019-12-28,,2020-01-06,5,2020-01-11,Сайт,Активный,Игора,3,Апартаменты,1
20,1,20200126-6634-58421595,1,4900,4900,4900,Банк. карта: Банк Россия (банк. карта),2019-12-28,,2020-01-26,1,2020-01-27,Сайт,Активный,Игора,1,Стандарт,1
21,1,20200119-6634-58421425,1,4900,4900,4900,Банк. карта: Банк Россия (банк. карта),2019-12-28,2020-01-23,2020-01-19,1,2020-01-20,Сайт,Отмена,Игора,1,Стандарт,0
23,1,20200126-6634-58412749,1,9310,9310,4655,Банк. карта: Банк Россия (банк. карта),2019-12-28,,2020-01-26,2,2020-01-28,Сайт,Активный,Игора,2,Стандарт,1
24,1,20200127-6634-58405394,1,17400,0,8700,Гарантия банковской картой,2019-12-28,2020-01-04,2020-01-27,2,2020-01-29,OTA,Отмена,Игора,1,Стандарт,0
25,1,20200120-6634-58392714,1,42840,42840,10710,Банк. карта: Банк Россия (банк. карта),2019-12-27,,2020-01-20,4,2020-01-24,Сайт,Активный,Игора,3,Апартаменты,1
26,1,20200228-6634-58386383,1,33060,33060,16530,Банк. карта: Банк Россия (банк. карта),2019-12-27,,2020-02-28,2,2020-03-01,Сайт,Активный,Игора,1,Апартаменты,1
27,1,20200105-6634-58369535,1,41400,41400,13800,Банк. карта: Банк Россия (банк. карта),2019-12-27,,2020-01-05,3,2020-01-08,Сайт,Активный,Игора,2,Стандарт,1
28,1,20191229-6634-58363931,1,16900,16900,16900,Банк. карта: Банк Россия (банк. карта),2019-12-27,,2019-12-29,1,2019-12-30,Сайт,Активный,Игора,3,Апартаменты,1
29,1,20191229-6634-58361550,1,6400,6400,6400,Банк. карта: Банк Россия (банк. карта),2019-12-27,,2019-12-29,1,2019-12-30,Сайт,Активный,Игора,1,Стандарт,1
31,1,20200128-6634-58358859,1,23086,23086,11543,Банк. карта: Банк Россия (банк. карта),2019-12-27,,2020-01-28,2,2020-01-30,Сайт,Активный,Игора,4,Апартаменты,1
33,1,20200222-6634-58353885,1,54000,54000,27000,Банк. карта: Банк Россия (банк. карта),2019-12-27,2020-02-11,2020-02-22,2,2020-02-24,Сайт,Отмена,Игора,4,Коттедж,0
34,1,20200108-6634-58351750,1,55100,55100,18366.67,Банк. карта: Банк Россия (банк. карта),2019-12-27,,2020-01-08,3,2020-01-11,Сайт,Активный,Игора,6,Апартаменты,1
36,1,20191228-6634-58331344,1,41450,0,20725,Гарантия банковской картой,2019-12-26,2019-12-27,2019-12-28,2,2019-12-30,OTA,Отмена,Игора,1,Коттедж,0
38,1,20200105-6634-58329478,1,29000,29000,14500,Банк. карта: Банк Россия (банк. карта),2019-12-26,,2020-01-05,2,2020-01-07,Сайт,Активный,Игора,2,Стандарт,1
39,1,20200301-6634-58326320,1,17000,17000,8500,Банк. карта: Банк Россия (банк. карта),2019-12-26,2020-03-21,2020-03-01,2,2020-03-03,Сайт,Отмена,Игора,2,Стандарт,0
40,1,20191228-6634-58322658,1,31825,31825,15912.5,Банк. карта: Банк Россия (банк. карта),2019-12-26,,2019-12-28,2,2019-12-30,Сайт,Активный,Игора,1,Апартаменты,1
42,1,20200120-6634-58289264,1,22040,22040,5510,Банк. карта: Банк Россия (банк. карта),2019-12-26,,2020-01-20,4,2020-01-24,Сайт,Активный,Игора,2,Стандарт,1
43,1,20200105-6634-58282870,1,27600,27600,13800,Банк. карта: Банк Россия (банк. карта),2019-12-26,,2020-01-05,2,2020-01-07,Сайт,Активный,Игора,2,Стандарт,1
44,1,20200214-6634-58275269,1,61560,61560,30780,Банк. карта: Банк Россия (банк. карта),2019-12-25,,2020-02-14,2,2020-02-16,Сайт,Активный,Игора,1,Коттедж,1
45,1,20200111-6634-58273707,1,56050,56050,28025,Банк. карта: Банк Россия (банк. карта),2019-12-25,2020-01-03,2020-01-11,2,2020-01-13,Сайт,Отмена,Игора,1,Коттедж,0
46,1,20191226-6634-58270241,1,27600,0,27600,Внешняя система оплаты (С предоплатой),2019-12-25,,2019-12-26,1,2019-12-27,OTA,Активный,Игора,1,Коттедж,1
47,1,20200108-6634-58270110,1,11590,11590,5795,Банк. карта: Банк Россия (банк. карта),2019-12-25,,2020-01-08,2,2020-01-10,Сайт,Активный,Игора,2,Стандарт,1
48,1,20191225-6634-58260023,1,27100,0,27100,Внешняя система оплаты (С предоплатой),2019-12-25,,2019-12-25,1,2019-12-26,OTA,Активный,Игора,1,Коттедж,1
50,1,20200127-6634-58253056,1,9310,9310,4655,Банк. карта: Банк Россия (банк. карта),2019-12-25,2019-12-26,2020-01-27,2,2020-01-29,Сайт,Отмена,Игора,1,Стандарт,0
51,1,20200124-6634-58248744,1,35340,35340,17670,Банк. карта: Банк Россия (банк. карта),2019-12-25,2020-01-13,2020-01-24,2,2020-01-26,Сайт,Отмена,Игора,4,Апартаменты,0
52,1,20200218-6634-58237770,1,55200,0,27600,Внешняя система оплаты (С предоплатой),2019-12-25,,2020-02-18,2,2020-02-20,OTA,Активный,Игора,1,Коттедж,1
55,1,20200127-6634-58226945,1,9310,9310,4655,Банк. карта: Банк Россия (банк. карта),2019-12-25,,2020-01-27,2,2020-01-29,Сайт,Активный,Игора,2,Стандарт,1
56,1,20200201-6634-58226302,1,57000,0,28500,Гарантия банковской картой,2019-12-25,,2020-02-01,2,2020-02-03,OTA,Активный,Игора,1,Коттедж,1
57,1,20200108-6634-58225856,1,5800,0,5800,Гарантия банковской картой,2019-12-25,,2020-01-08,1,2020-01-09,OTA,Активный,Игора,1,Стандарт,1
58,1,20191229-6634-58225428,1,23350,23350,23350,Банк. карта: Банк Россия (банк. карта),2019-12-25,,2019-12-29,1,2019-12-30,Сайт,Активный,Игора,1,Коттедж,1
60,1,20200103-6634-58175810,1,42800,42800,14266.67,Банк. карта: Банк Россия (банк. карта),2019-12-24,,2020-01-03,3,2020-01-06,Сайт,Активный,Игора,2,Стандарт,1
61,1,20200112-6634-58160238,1,27400,0,13700,Гарантия банковской картой,2019-12-23,2020-01-11,2020-01-12,2,2020-01-14,OTA,Отмена,Игора,1,Апартаменты,0
62,1,20191228-6634-58157117,1,10800,0,10800,Гарантия банковской картой,2019-12-23,2019-12-26,2019-12-28,1,2019-12-29,OTA,Отмена,Игора,1,Стандарт,0
63,1,20200120-6634-58151703,1,18000,0,9000,Гарантия банковской картой,2019-12-23,,2020-01-20,2,2020-01-22,OTA,Активный,Игора,1,Стандарт,1
64,1,20200124-6634-58147895,1,38400,0,19200,Гарантия банковской картой,2019-12-23,2020-01-12,2020-01-24,2,2020-01-26,OTA,Отмена,Игора,1,Апартаменты,0
65,1,20200105-6634-58134285,1,41400,41400,13800,Банк. карта: Банк Россия (банк. карта),2019-12-23,,2020-01-05,3,2020-01-08,Сайт,Активный,Игора,2,Стандарт,1
66,1,20191228-6634-58126521,1,10800,0,10800,Гарантия банковской картой,2019-12-23,2019-12-25,2019-12-28,1,2019-12-29,OTA,Отмена,Игора,1,Стандарт,0
70,1,20191224-6634-58097567,1,13870,13870,6935,Банк. карта: Банк Россия (банк. карта),2019-12-22,,2019-12-24,2,2019-12-26,Сайт,Активный,Игора,2,Стандарт,1
74,1,20200307-6634-58049472,1,21185,21185,7061.67,Банк. карта: Банк Россия (банк. карта),2019-12-21,2020-01-30,2020-03-07,3,2020-03-10,Сайт,Отмена,Игора,2,Стандарт,0
75,1,20191221-6634-58040497,1,20550,0,20550,Гарантия банковской картой,2019-12-21,,2019-12-21,1,2019-12-22,OTA,Активный,Игора,1,Коттедж,1
77,1,20191221-6634-58025921,1,29000,0,29000,Гарантия банковской картой,2019-12-21,2019-12-21,2019-12-21,1,2019-12-22,OTA,Отмена,Игора,1,Коттедж,0
78,1,20191221-6634-58006902,1,13300,13300,13300,Банк. карта: Банк Россия (банк. карта),2019-12-20,,2019-12-21,1,2019-12-22,Сайт,Активный,Игора,4,Апартаменты,1
80,1,20200123-6634-58001884,1,49350,0,24675,Гарантия банковской картой,2019-12-20,2020-01-16,2020-01-23,2,2020-01-25,OTA,Отмена,Игора,1,Коттедж,0
82,1,20200113-6634-57989910,1,17670,17670,8835,Банк. карта: Банк Россия (банк. карта),2019-12-20,,2020-01-13,2,2020-01-15,Сайт,Активный,Игора,3,Стандарт,1
83,1,20191226-6634-57976855,1,22850,22850,22850,Банк. карта: Банк Россия (банк. карта),2019-12-20,,2019-12-26,1,2019-12-27,Сайт,Активный,Игора,1,Коттедж,1
84,1,20200104-6634-57976502,1,174600,174600,58200,Банк. карта: Банк Россия (банк. карта),2019-12-20,,2020-01-04,3,2020-01-07,Сайт,Активный,Игора,6,Коттедж,1
86,1,20200114-6634-57948865,1,40200,0,20100,Гарантия банковской картой,2019-12-20,2019-12-23,2020-01-14,2,2020-01-16,OTA,Отмена,Игора,1,Коттедж,0
89,1,20191219-6634-57930768,2,12800,0,6400,Гарантия банковской картой,2019-12-19,2019-12-19,2019-12-19,1,2019-12-20,OTA,Отмена,Игора,2,Стандарт,0
91,1,20191221-6634-57927168,1,10200,10200,10200,Банк. карта: Банк Россия (банк. карта),2019-12-19,,2019-12-21,1,2019-12-22,Сайт,Активный,Игора,1,Стандарт,1
92,1,20191222-6634-57923580,1,19900,19900,19900,Банк. карта: Банк Россия (банк. карта),2019-12-19,,2019-12-22,1,2019-12-23,Сайт,Активный,Игора,1,Коттедж,1
93,1,20200111-6634-57918516,1,17850,17850,17850,Банк. карта: Банк Россия (банк. карта),2019-12-19,,2020-01-11,1,2020-01-12,Сайт,Активный,Игора,1,Апартаменты,1
94,1,20191221-6634-57913573,1,12950,12950,12950,Банк. карта: Банк Россия (банк. карта),2019-12-19,,2019-12-21,1,2019-12-22,Сайт,Активный,Игора,2,Апартаменты,1
96,1,20200122-6634-57909713,1,21845,21845,7281.67,Банк. карта: Банк Россия (банк. карта),2019-12-19,2020-02-18,2020-01-22,3,2020-01-25,Сайт,Отмена,Игора,2,Стандарт,0
97,1,20191219-6634-57902094,1,6400,0,6400,Гарантия банковской картой,2019-12-19,,2019-12-19,1,2019-12-20,OTA,Активный,Игора,1,Стандарт,1
98,1,20191228-6634-57900189,1,19000,0,19000,Гарантия банковской картой,2019-12-19,2019-12-24,2019-12-28,1,2019-12-29,OTA,Отмена,Игора,1,Апартаменты,0
99,1,20191221-6634-57885883,1,10200,10200,10200,Банк. карта: Банк Россия (банк. карта),2019-12-19,,2019-12-21,1,2019-12-22,Сайт,Активный,Игора,2,Стандарт,1
100,1,20191228-6634-57864008,1,10500,0,10500,Гарантия банковской картой,2019-12-18,2019-12-26,2019-12-28,1,2019-12-29,OTA,Отмена,Игора,1,Стандарт,0
101,1,20200123-6634-57843089,1,25540,25540,12770,Банк. карта: Банк Россия (банк. карта),2019-12-18,,2020-01-23,2,2020-01-25,Сайт,Активный,Игора,3,Стандарт,1
103,1,20200227-6634-57820101,1,58235,58235,29117.5,Банк. карта: Банк Россия (банк. карта),2019-12-17,,2020-02-27,2,2020-02-29,Сайт,Активный,Игора,1,Коттедж,1
105,1,20191221-6634-57816412,1,14450,14450,14450,Банк. карта: Банк Россия (банк. карта),2019-12-17,2019-12-19,2019-12-21,1,2019-12-22,Сайт,Отмена,Игора,4,Апартаменты,0
106,1,20191226-6634-57812923,1,5200,5200,5200,Банк. карта: Банк Россия (банк. карта),2019-12-17,,2019-12-26,1,2019-12-27,Сайт,Активный,Игора,2,Стандарт,1
108,1,20191228-6634-57809787,1,16900,0,8450,Гарантия банковской картой,2019-12-17,,2019-12-28,2,2019-12-30,OTA,Активный,Игора,1,Стандарт,1
109,1,20191221-6634-57807250,1,14450,0,14450,Гарантия банковской картой,2019-12-17,,2019-12-21,1,2019-12-22,OTA,Активный,Игора,1,Апартаменты,1
110,1,20200307-6634-57803835,1,34400,0,17200,Гарантия банковской картой,2019-12-17,2020-03-03,2020-03-07,2,2020-03-09,OTA,Отмена,Игора,1,Апартаменты,0
111,1,20200221-6634-57802118,1,26220,26220,8740,Банк. карта: Банк Россия (банк. карта),2019-12-17,2020-02-17,2020-02-21,3,2020-02-24,Сайт,Отмена,Игора,1,Стандарт,0
114,1,20191218-6634-57792843,1,11100,11100,11100,Банк. карта: Банк Россия (банк. карта),2019-12-17,,2019-12-18,1,2019-12-19,Сайт,Активный,Игора,1,Стандарт,1
116,1,20191221-6634-57780066,1,9200,9200,9200,Банк. карта: Банк Россия (банк. карта),2019-12-17,,2019-12-21,1,2019-12-22,Сайт,Активный,Игора,1,Стандарт,1
117,1,20200125-6634-57755754,1,53910,53910,10782,Банк. карта: Банк Россия (банк. карта),2019-12-17,,2020-01-25,5,2020-01-30,Сайт,Активный,Игора,3,Апартаменты,1
120,1,20191224-6634-57739807,1,26790,26790,13395,Банк. карта: Банк Россия (банк. карта),2019-12-16,,2019-12-24,2,2019-12-26,Сайт,Активный,Игора,4,Апартаменты,1
121,1,20191223-6634-57726135,2,21000,21000,10500,Банк. карта: Банк Россия (банк. карта),2019-12-16,2019-12-20,2019-12-23,1,2019-12-24,Сайт,Отмена,Игора,2,Стандарт,0
123,1,20191228-6634-57719488,1,10500,10500,10500,Банк. карта: Банк Россия (банк. карта),2019-12-16,,2019-12-28,1,2019-12-29,Сайт,Активный,Игора,1,Стандарт,1
124,1,20191221-6634-57718441,1,10200,0,10200,Гарантия банковской картой,2019-12-16,,2019-12-21,1,2019-12-22,OTA,Активный,Игора,1,Апартаменты,1
125,1,20200310-6634-57711350,1,13965,13965,4655,Банк. карта: Банк Россия (банк. карта),2019-12-16,,2020-03-10,3,2020-03-13,Сайт,Активный,Игора,2,Стандарт,1
126,1,20200221-6634-57710306,1,49591,49591,24795.5,Банк. карта: Банк Россия (банк. карта),2019-12-16,,2020-02-21,2,2020-02-23,Сайт,Активный,Игора,1,Коттедж,1
127,1,20200131-6634-57701478,1,32300,32300,16150,Банк. карта: Банк Россия (банк. карта),2019-12-16,,2020-01-31,2,2020-02-02,Сайт,Активный,Игора,4,Апартаменты,1
128,1,20200112-6634-57698104,1,19475,19475,4868.75,Банк. карта: Банк Россия (банк. карта),2019-12-16,,2020-01-12,4,2020-01-16,Сайт,Активный,Игора,2,Стандарт,1
131,1,20191221-6634-57679958,1,14450,0,14450,Гарантия банковской картой,2019-12-15,2019-12-15,2019-12-21,1,2019-12-22,OTA,Отмена,Игора,1,Апартаменты,0
132,1,20200211-6634-57674226,1,52700,52700,13175,Банк. карта: Банк Россия (банк. карта),2019-12-15,,2020-02-11,4,2020-02-15,Сайт,Активный,Игора,3,Апартаменты,1
134,1,20200123-6634-57663493,1,13900,0,6950,Гарантия банковской картой,2019-12-15,2020-01-10,2020-01-23,2,2020-01-25,OTA,Отмена,Игора,1,Стандарт,0
135,1,20200112-6634-57660796,1,20500,0,5125,Гарантия банковской картой,2019-12-15,2020-01-08,2020-01-12,4,2020-01-16,OTA,Отмена,Игора,1,Стандарт,0
136,1,20200109-6634-57653229,1,6400,0,6400,Гарантия банковской картой,2019-12-15,2019-12-24,2020-01-09,1,2020-01-10,OTA,Отмена,Игора,1,Стандарт,0
137,1,20191221-6634-57653089,1,16600,0,8300,Гарантия банковской картой,2019-12-15,2019-12-19,2019-12-21,2,2019-12-23,OTA,Отмена,Игора,1,Стандарт,0
138,1,20191223-6634-57651950,1,26100,0,26100,Гарантия банковской картой,2019-12-15,,2019-12-23,1,2019-12-24,OTA,Активный,Игора,1,Коттедж,1
139,1,20200316-6634-57649321,1,14700,0,4900,Гарантия банковской картой,2019-12-15,2020-03-01,2020-03-16,3,2020-03-19,OTA,Отмена,Игора,1,Стандарт,0
141,1,20200104-6634-57645085,1,43500,43500,14500,Банк. карта: Банк Россия (банк. карта),2019-12-15,2019-12-16,2020-01-04,3,2020-01-07,Сайт,Отмена,Игора,2,Стандарт,0
143,1,20200109-6634-57635674,1,14915,14915,7457.5,Банк. карта: Банк Россия (банк. карта),2019-12-14,,2020-01-09,2,2020-01-11,Сайт,Активный,Игора,2,Стандарт,1
145,1,20200222-6634-57627945,1,34400,0,17200,Гарантия банковской картой,2019-12-14,,2020-02-22,2,2020-02-24,OTA,Активный,Игора,1,Апартаменты,1
148,1,20200124-6634-57618879,1,16815,16815,8407.5,Банк. карта: Банк Россия (банк. карта),2019-12-14,,2020-01-24,2,2020-01-26,Сайт,Активный,Игора,1,Стандарт,1
149,1,20200124-6634-57618038,1,16815,16815,8407.5,Банк. карта: Банк Россия (банк. карта),2019-12-14,,2020-01-24,2,2020-01-26,Сайт,Активный,Игора,1,Стандарт,1
151,1,20200119-6634-57612323,1,13965,13965,4655,Банк. карта: Банк Россия (банк. карта),2019-12-14,,2020-01-19,3,2020-01-22,Сайт,Активный,Игора,2,Стандарт,1
152,1,20200103-6634-57608843,1,43500,43500,14500,Банк. карта: Банк Россия (банк. карта),2019-12-14,,2020-01-03,3,2020-01-06,Сайт,Активный,Игора,2,Стандарт,1
153,1,20191221-6634-57608514,1,14450,0,14450,Гарантия банковской картой,2019-12-14,,2019-12-21,1,2019-12-22,OTA,Активный,Игора,1,Апартаменты,1
154,1,20191227-6634-57604219,1,17765,17765,8882.5,Банк. карта: Банк Россия (банк. карта),2019-12-14,,2019-12-27,2,2019-12-29,Сайт,Активный,Игора,1,Стандарт,1
155,1,20191227-6634-57603490,1,19665,19665,9832.5,Банк. карта: Банк Россия (банк. карта),2019-12-14,,2019-12-27,2,2019-12-29,Сайт,Активный,Игора,1,Стандарт,1
157,1,20200111-6634-57588233,1,9000,0,9000,Гарантия банковской картой,2019-12-14,2020-01-10,2020-01-11,1,2020-01-12,OTA,Отмена,Игора,1,Стандарт,0
159,1,20200123-6634-57586293,1,33380,33380,11126.67,Банк. карта: Банк Россия (банк. карта),2019-12-14,2020-01-13,2020-01-23,3,2020-01-26,Сайт,Отмена,Игора,1,Стандарт,0
161,1,20191228-6634-57572108,1,34900,34900,34900,Банк. карта: Банк Россия (банк. карта),2019-12-13,,2019-12-28,1,2019-12-29,Сайт,Активный,Игора,1,Коттедж,1
162,1,20200103-6634-57569311,1,217300,217300,54325,Банк. карта: Банк Россия (банк. карта),2019-12-13,,2020-01-03,4,2020-01-07,Сайт,Активный,Игора,5,Коттедж,1
163,1,20200122-6634-57568919,1,33575,33575,8393.75,Банк. карта: Банк Россия (банк. карта),2019-12-13,2020-01-16,2020-01-22,4,2020-01-26,Сайт,Отмена,Игора,1,Стандарт,0
164,1,20191214-6634-57558646,1,13900,0,6950,Гарантия банковской картой,2019-12-13,2019-12-14,2019-12-14,2,2019-12-16,OTA,Отмена,Игора,1,Стандарт,0
165,1,20200122-6634-57554347,1,4900,0,4900,Гарантия банковской картой,2019-12-13,2020-01-18,2020-01-22,1,2020-01-23,OTA,Отмена,Игора,1,Стандарт,0
166,1,20191226-6634-57550770,1,51700,0,17233.33,Гарантия банковской картой,2019-12-13,2019-12-27,2019-12-26,3,2019-12-29,OTA,Отмена,Игора,1,Апартаменты,0
167,1,20200120-6634-57539286,1,6630,0,3315,При заселении,2019-12-13,2019-12-13,2020-01-20,2,2020-01-22,Сайт,Отмена,Игора,1,Стандарт,0
168,1,20191221-6634-57534089,1,9600,9600,9600,Банк. карта: Банк Россия (банк. карта),2019-12-13,,2019-12-21,1,2019-12-22,Сайт,Активный,Игора,1,Стандарт,1
170,1,20191214-6634-57528506,1,10950,10950,10950,Банк. карта: Банк Россия (банк. карта),2019-12-13,,2019-12-14,1,2019-12-15,Сайт,Активный,Игора,2,Апартаменты,1
