id,hotel,book_number,rooms,amount,prepay,price_per_night,pmnt_type,date_book,date_cancel,date_in,nights,date_out,channel,status_book,object,guests,room_type_agg,target
92830,6,20220810-21997-135690861,1,47880,16340,15960,Банк. карта: Банк Россия (банк. карта),2022-04-26,2022-05-26,2022-08-10,3,2022-08-13,Сайт,Отмена,ТНК ЛП,1,Студия,0
92832,6,20220616-21997-135684004,1,14800,14800,14800,Банк. карта: Банк Россия (банк. карта),2022-04-25,,2022-06-16,1,2022-06-17,Сайт,Активный,ТНК ЛП,1,Студия,1
92835,6,20220426-21997-135650604,1,7000,0,7000,При заселении,2022-04-25,,2022-04-26,1,2022-04-27,Сайт,Активный,ТНК ЛП,2,Стандарт,1
92838,6,20220427-21997-135595616,1,9600,9600,9600,Банк. карта: Банк Россия (банк. карта),2022-04-25,,2022-04-27,1,2022-04-28,Сайт,Активный,ТНК ЛП,2,Студия,1
92839,6,20220502-21997-135581975,1,8600,8600,8600,Банк. карта: Банк Россия (банк. карта),2022-04-25,,2022-05-02,1,2022-05-03,OTA,Активный,ТНК ЛП,2,Стандарт,1
92840,6,20220425-21997-135584538,1,25245,8670,8415,Банк. карта: Банк Россия (банк. карта),2022-04-25,,2022-04-25,3,2022-04-28,Сайт,Активный,ТНК ЛП,1,Студия,1
92841,6,20220510-21997-135576953,1,34600,11200,11533.33,Банк. карта: Банк Россия (банк. карта),2022-04-25,,2022-05-10,3,2022-05-13,Сайт,Активный,ТНК ЛП,3,Студия,1
92842,6,20220825-21997-135514582,1,23000,7200,11500,Банк. карта: Банк Россия (банк. карта),2022-04-24,,2022-08-24,2,2022-08-26,Сайт,Активный,ТНК ЛП,2,Стандарт,1
92844,6,20220426-21997-135473850,1,7000,0,7000,При заселении,2022-04-24,,2022-04-26,1,2022-04-27,OTA,Активный,ТНК ЛП,2,Стандарт,1
92845,6,20220714-21997-135465510,1,43800,43800,14600,Банк. карта: Банк Россия (банк. карта),2022-04-24,,2022-07-14,3,2022-07-17,Сайт,Активный,ТНК ЛП,3,Студия,1
92847,6,20220504-21997-135458388,1,16000,8100,8000,Банк. карта: Банк Россия (банк. карта),2022-04-24,,2022-05-04,2,2022-05-06,Сайт,Активный,ТНК ЛП,1,Стандарт,1
92848,6,20220622-21997-135438155,1,19600,9800,9800,Банк. карта: Банк Россия (банк. карта),2022-04-24,2022-05-04,2022-06-22,2,2022-06-24,Сайт,Отмена,ТНК ЛП,2,Стандарт,0
92849,6,20220504-21997-135430037,2,32000,16200,8000,Банк. карта: Банк Россия (банк. карта),2022-04-24,,2022-05-04,2,2022-05-06,Сайт,Активный,ТНК ЛП,4,Стандарт,1
92852,6,20220504-21997-135410187,1,33600,16800,16800,Банк. карта: Банк Россия (банк. карта),2022-04-24,,2022-05-04,2,2022-05-06,Сайт,Активный,ТНК ЛП,1,Студия,1
92854,6,20220720-21997-135384730,1,34700,17500,17350,Банк. карта: Банк Россия (банк. карта),2022-04-23,,2022-07-20,2,2022-07-22,Сайт,Активный,ТНК ЛП,1,Студия,1
